"timestamp","x","y","z"
"2025-04-08 17:08:20.619","-0.05","-0.67","9.74"
"2025-04-08 17:08:20.717","0.43","-0.61","9.86"
"2025-04-08 17:08:20.826","0.11","0.74","9.84"
"2025-04-08 17:08:20.934","0.49","0.29","9.72"
"2025-04-08 17:08:21.051","0.76","-0.24","9.77"
"2025-04-08 17:08:21.151","-0.97","0.71","9.79"
"2025-04-08 17:08:21.260","0.74","-0.77","9.7"
"2025-04-08 17:08:21.371","0.63","-0.34","9.77"
"2025-04-08 17:08:21.480","-0.25","0.18","9.74"
"2025-04-08 17:08:21.589","0.01","0.78","9.83"
"2025-04-08 17:08:21.699","-0.28","-0.05","9.73"
"2025-04-08 17:08:21.808","0.11","0.39","9.89"
"2025-04-08 17:08:21.917","-0.67","0.46","9.78"
"2025-04-08 17:08:22.027","-0.72","0.49","9.76"
"2025-04-08 17:08:22.135","-0.98","0.9","9.85"
"2025-04-08 17:08:22.244","0.65","0.86","9.7"
"2025-04-08 17:08:22.354","-0.3","-0.39","9.9"
"2025-04-08 17:08:22.463","0.13","0.14","9.72"
"2025-04-08 17:08:22.571","-0.23","0.42","9.7"
"2025-04-08 17:08:22.681","0.06","-0.57","9.8"
"2025-04-08 17:08:22.787","-0.52","-0.2","9.81"
"2025-04-08 17:08:22.898","0.39","-0.45","9.83"
"2025-04-08 17:08:23.007","-0.32","-0.48","9.88"
"2025-04-08 17:08:23.117","-0.86","-0.23","9.88"
"2025-04-08 17:08:23.224","0.86","0.35","9.71"
"2025-04-08 17:08:23.334","0.97","-0.01","9.78"
"2025-04-08 17:08:23.445","-0.56","-0.29","9.72"
"2025-04-08 17:08:23.555","-0.49","0.29","9.83"
"2025-04-08 17:08:23.665","-0.29","-0.94","9.89"
"2025-04-08 17:08:23.775","0.85","0.22","9.83"
"2025-04-08 17:08:23.883","-0.78","-0.34","9.82"
"2025-04-08 17:08:23.993","-0.12","0.09","9.71"
"2025-04-08 17:08:24.100","0.84","-0.09","9.77"
"2025-04-08 17:08:24.210","-0.41","-0.59","9.89"
"2025-04-08 17:08:24.318","-0.37","0.74","9.86"
"2025-04-08 17:08:24.426","0.64","-0.4","9.75"
